species_id,species_code,scientific_name,common_name,identification,tree_group
324,AM,Amelanchier,serviceberry spp,Autumn Brillance Serviceberry,Other
1680,ACSA2,Acer saccharum,Sugar maple,Autumn Fest Maple,Maple
1673,ACNI,Acer nigrum,Black maple,Black Maple,Maple
5001,QUVE,Quercus velutina,Black oak,Black Oak,Oak
4926,QUMA1,Quercus macrocarpa,Bur oak,Bur Oak,Oak
5909,ULPU,Ulmus pumila,Siberian elm,Cathedral Elm,Elm
4431,PIPU,Picea pungens,Blue spruce,Colorado Blue Spruce,Evergreen
2302,CEOC,Celtis occidentalis,Northern hackberry,Common Hackberry,Other
1028,PO,Populus,cottonwood spp,Cottonwood,Other
3995,PYIO,Malus ioensis,Prairie crabapple,Crabapple,Crabapple
2572,CODR,Cornus drummondii,Roughleaf dogwood,Dogwood,Other
3721,JUVI,Juniperus virginiana,Eastern red cedar,Eastern Red Cedar,Evergreen
3313,FASY,Fagus sylvatica,European beech,European Beech,Other
1683,ACFR,Acer x freemanii,Freeman maple,Freeman Maple,Maple
3452,GIBI,Ginkgo biloba,Ginkgo,Ginkgo,Other
3394,FRPE,Fraxinus pennsylvanica,Green ash,Green Ash,Ash
2733,CRPH,Crataegus phaenopyrum,Washington hawthorn,Hawthorn,Other
15105,GLTR1,Gleditsia triacanthos v. inermis,Thornless honeylocust,Honey Locust,Honey Locust
1674,ACPA,Acer palmatum,Japanese maple,Japanese Maple,Maple
15400,GYDI1,Gymnocladus dioica,Kentucky Coffee tree,Kentucky Coffee Tree,Other
5858,TICO,Tilia cordata,Littleleaf linden,Little-Leaf Linden,Other
3961,MAST,Magnolia stellata,Star magnolia,Magnolia,Other
1680,ACSA2,Acer saccharum,Sugar maple,Maple Northern Flare,Maple
1676,ACPL,Acer platanoides,Norway maple,Norway Maple,Maple
1709,AEGL,Aesculus glabra,Ohio buckeye,Ohio Buckeye,Other
4952,QUPA,Quercus palustris,Pin oak,Pin Oak,Oak
5903,ULAM,Ulmus americana,American elm,Princeton Elm,Elm
3452,GIBI,Ginkgo biloba,Ginkgo,Princeton Sentry Ginkgo,Other
1678,ACRU,Acer rubrum,Red maple,Red Maple,Maple
4970,QURU,Quercus rubra,Northern red oak,Red Oak,Oak
1678,ACRU,Acer rubrum,Red maple,Red Sunset Maple,Maple
4498,PISY,Pinus sylvestris,Scots pine,Scotch Pine,Evergreen
5903,ULAM,Ulmus americana,American elm,Sentry Elm,Elm
5857,TIAM,Tilia americana,American basswood,Sentry Linden,Other
14714,BEPEP,Betula pendula ssp. pendula,European silver birch,Silver Birch,Other
1680,ACSA2,Acer saccharum,Sugar maple,Sugar Maple,Maple
4839,QUBI,Quercus bicolor,Swamp white oak,Swamp White Oak,Oak
3852,LITU,Liriodendron tulipifera,Tulip tree,Tulip Tree,Other
5903,ULAM,Ulmus americana,American elm,Valley Forge Elm,Elm
3378,FRAM,Fraxinus americana,White ash,White Ash,Ash
4824,QUAL,Quercus alba,White oak,White Oak,Oak
4497,PIST,Pinus strobus,Eastern white pine,White Pine,Evergreen
